ID,Prompt,LLM,Effectiveness Score,Reproducibility Score,Submission Date,Verification Status,Additional Notes,Submitter,Responsible Disclosure,Evidence
JB-2025-0001,Dummy jailbreak prompt 1,"GPT-4.5 (OpenAI)",4,5,2025-01-01,Verified,Note for prompt 1,alice,Yes,N/A
JB-2025-0002,Dummy jailbreak prompt 2,"Claude 3 (Anthropic)",3,4,2025-01-02,Unverified,Note for prompt 2,bob,No,N/A
JB-2025-0003,Dummy jailbreak prompt 3,"Gemini 2.0 (Google)",5,4,2025-01-03,Verified,Note for prompt 3,carol,Yes,N/A
JB-2025-0004,Dummy jailbreak prompt 4,"GPT-4.5 (OpenAI)",4,4,2025-01-04,Verified,Note for prompt 4,alice,Yes,N/A
JB-2025-0005,Dummy jailbreak prompt 5,"Claude 3 (Anthropic)",2,3,2025-01-05,Deprecated,Note for prompt 5,dave,No,N/A
JB-2025-0006,Dummy jailbreak prompt 6,"Gemini 2.0 (Google)",3,5,2025-01-06,Verified,Note for prompt 6,carol,Yes,N/A
JB-2025-0007,Dummy jailbreak prompt 7,"GPT-4.5 (OpenAI)",5,5,2025-01-07,Verified,Note for prompt 7,alice,Yes,N/A
JB-2025-0008,Dummy jailbreak prompt 8,"Claude 3 (Anthropic)",4,3,2025-01-08,Unverified,Note for prompt 8,bob,No,N/A
JB-2025-0009,Dummy jailbreak prompt 9,"Gemini 2.0 (Google)",4,4,2025-01-09,Verified,Note for prompt 9,carol,Yes,N/A
JB-2025-0010,Dummy jailbreak prompt 10,"GPT-4.5 (OpenAI)",3,3,2025-01-10,Verified,Note for prompt 10,dave,No,N/A
JB-2025-0011,Dummy jailbreak prompt 11,"Claude 3 (Anthropic)",5,4,2025-01-11,Verified,Note for prompt 11,alice,Yes,N/A
JB-2025-0012,Dummy jailbreak prompt 12,"Gemini 2.0 (Google)",4,3,2025-01-12,Unverified,Note for prompt 12,bob,No,N/A
JB-2025-0013,Dummy jailbreak prompt 13,"GPT-4.5 (OpenAI)",3,4,2025-01-13,Verified,Note for prompt 13,carol,Yes,N/A
